data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
data = b'\x02S\x00\x00\x00\x02S\x00\x00\x00\x02S\x00\x00\x00c\x00\x00\x00\x00', len = 20, type = <class 'bytes'>
data = b'c\x00\x00\x00\x00', len = 5, type = <class 'bytes'>
