Time(ms),MoTE,Pin,State,P&ID
1337.2327289581299,3,33,False,VOTV
1384.885377407074,2,34,True,VOND
1393.419219493866,2,34,False,VOND
1413.436126947403,2,31,False,VNNP
1423.430459022522,3,34,False,VPTE
1523.576807975769,2,34,True,VOND
1528.4922528266907,2,34,False,VOND
1559.505031824112,2,31,True,VNNP
1575.166475534439,2,34,True,VOND
1590.603637456894,2,34,False,VOND
1618.043018579483,3,33,True,VOTV
1639.2024772167206,2,34,True,VOND
1866.2447381019592,2,34,False,VOND
1897.183022737503,3,1,True,NULL
1901.5018453598022,3,1,False,NULL
1923.8951585292816,1,36,True,IGNTN
1928.8983461856842,2,31,False,VNNP
1931.3981201648712,2,33,True,VOPB
1933.9003386497498,2,33,False,VOPB
1935.898536682129,3,34,True,VPTE
1938.898720741272,2,37,True,VNMF
1943.8988580703735,2,31,True,VNNP
1945.8997120857239,3,34,False,VPTE
1945.900762796402,2,37,False,VNMF
1987.5382626056671,2,33,True,VOPB
2072.4307589530945,3,33,False,VOTV
2088.4061002731323,3,33,True,VOTV
3092.307271718979,2,31,False,VNNP
3110.012852907181,2,34,True,VOND
3118.340377807617,2,34,False,VOND
3145.9903128147125,2,31,True,VNNP
3177.578683614731,2,34,True,VOND
3296.0428738594055,3,33,False,VOTV
3296.4230427742004,3,33,True,VOTV
3306.5257799625397,3,33,False,VOTV
3306.868374109268,3,33,False,VOTV
3307.482927083969,3,33,True,VOTV
3333.81920337677,2,34,False,VOND
3418.948312997818,1,36,True,IGNTN
3433.9490072727203,2,31,False,VNNP
3438.9498221874237,2,31,True,VNNP
3471.9815566539764,3,33,False,VOTV
3547.2847950458527,2,31,False,VNNP
3559.2103140354156,2,34,True,VOND
