Mote id,Sensor or Actuator,Interface Type,Human Name,Pin,P and ID,unit,min,max,window
1,sensor,ADC Internal Temp,MoTE Temperature TOEI,11,TEMP,*C Internal,-50,250,0
1,sensor,i2c ADC 2ch PGA128,Thermocouple TEC1,0,TEC1,Degrees C,-50,250,0
1,sensor,i2c ADC 2ch PGA128,Thermocouple TEC2,31,TEC2,Degrees C,-50,250,0
1,sensor,i2c ADC 2ch PGA128,Thermocouple TEC3,30,TEC3,Degrees C,-50,250,0
1,sensor,i2c ADC 2ch PGA128,Thermocouple TEC4,1,TEC4,Degrees C,-50,250,0
1,sensor,i2c ADC 1ch,Pressure Transducer POIM,21,POIM,PSI_1k,0,1000,1
1,sensor,i2c ADC 1ch,Pressure Transducer PFIM,20,PFIM,PSI_1k,0,1000,1
1,sensor,i2c ADC 1ch,Pressure Transducer PMCC,23,PMCC,PSI_1k,0,1000,1
1,sensor,i2c ADC 2ch PGA128,Loadcell LECT,10,LECT,lbs_engine,0,3000,2
1,actuator,servoPWM_12V,Servo 12V VFRP (J12),6,VFRP
1,actuator,Binary GPIO,VFRP PWR (J33),32,VFRP
1,actuator,Binary GPIO,VNMO [VOMV],37,VNMO
1,actuator,Binary GPIO,IGNITION 12V,30,IGNTN
2,sensor,Teensy ADC,Teensy ADC,14,TNSY,None,0,200,0
2,sensor,i2c ADC 1ch,Pressure Transducer PNNP,10,PNNP,PSI_1k,0,200,1
2,sensor,i2c ADC 1ch,Pressure Transducer PNND,11,PNND,PSI_1k,0,200,1
2,sensor,i2c ADC 1ch,Pressure Transducer PFPI,12,PFPI,PSI_1k,0,200,1
2,sensor,i2c ADC 1ch,Pressure Transducer POPI,13,POPI,PSI_1k,0,200,1
2,sensor,i2c ADC 1ch,Pressure Transducer PNEO,2,PNEO,PSI_1k,0,200,1
2,sensor,i2c ADC 1ch,Pressure Transducer PNEF,3,PNEF,PSI_1k,0,200,1
2,actuator,Binary GPIO,Solenoid VNNF [VFRP],33,VNNF,None,None,None
2,actuator,Binary GPIO,Solenoid VNND [VXPI] (N.O.),35,VNND,None,None,None
2,actuator,Binary GPIO,Solenoid VNNP [VORP],31,VNNP,None,None,None
2,actuator,Binary GPIO,Solenoid VNMF [VFMV],37,VNMF,None,None,None
2,actuator,Binary GPIO,Solenoid VOND (N.O.),34,VOND,None,None,None
3,sensor,ADC Internal Temp,MoTE Temperature TOTR,24,TEMP,*C Internal,-50,250,1
3,sensor,i2c ADC 2ch PGA128,Thermocouple TOTR,30,TOTR,Degrees C,-500,500,0
3,sensor,i2c ADC 1ch,Pressure Transducer POTB,32,POTB,PSI_1k,0,200,1
3,sensor,i2c ADC 1ch,Pressure Transducer POTR,33,POTR,PSI_5k,0,2500,1
3,sensor,i2c ADC 1ch,Pressure Transducer PNTB,20,PNTB,PSI_5k,0,2500,1
3,sensor,i2c ADC 1ch,Pressure Transducer PFTR,21,PFTR,PSI_1k,0,200,1
3,sensor,i2c ADC 2ch PGA128,Loadcell LOTM,40,LOTM,lbs_tank,0,50,2
3,sensor,i2c ADC 2ch PGA128,Loadcell LFTM,41,LFTM,lbs_tank,0,50,2
3,actuator,Binary GPIO,Solenoid VFTV (N.O),30,VFTV,None,None,None
3,actuator,Binary GPIO,Solenoid VOTV (N.O.) [Ox Vent],33,VOTV,None,None,None
3,actuator,Binary GPIO,Solenoid VPTE,34,VPTE,None,None,None
3,actuator,Binary GPIO,Solenoid VNTB,23,VNTB,None,None,None
3,actuator,Binary GPIO,Solenoid VXND,22,VXND,None,None,None
3,actuator,Binary GPIO,Solenoid VNTO,32,VNTO,None,None,None
3,actuator,Binary GPIO,Solenoid VOTF [Ox Fill],35,VOTF,None,None,None
