Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.732000,-73.914000,0.000000,top
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",121.412000,-73.914000,0.000000,top
"C4","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",172.212000,-127.254000,90.000000,top
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",162.052000,-122.174000,270.000000,top
"C7","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.452000,-127.254000,90.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",177.292000,-122.174000,270.000000,top
"C10","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.942000,-131.064000,0.000000,top
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",186.182000,-131.064000,0.000000,top
"C12","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.672000,-127.254000,270.000000,top
"C13","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.912000,-127.254000,270.000000,top
"C14","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.132000,-127.254000,90.000000,top
"C15","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",182.372000,-127.254000,90.000000,top
"C16","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",165.862000,-131.064000,0.000000,top
"C17","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.102000,-131.064000,0.000000,top
"C18","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.592000,-127.254000,270.000000,top
"C19","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.832000,-127.254000,270.000000,top
"C20","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.692000,-127.254000,90.000000,top
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.532000,-122.174000,270.000000,top
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",201.422000,-131.064000,0.000000,top
